Date,105#
2024/9/1 0:00,34.5
2024/9/1 0:01,34.6
2024/9/1 0:02,34.5
2024/9/1 0:02,34.6
2024/9/1 0:05,34.7
2024/9/1 0:06,34.8
2024/9/1 0:06,34.7
2024/9/1 0:06,34.6
2024/9/1 0:09,34.5
2024/9/1 0:09,34.6
2024/9/1 0:10,34.5
2024/9/1 0:11,34.6
2024/9/1 0:16,34.7
2024/9/1 0:18,34.8
2024/9/1 0:21,34.9
2024/9/1 0:21,34.8
2024/9/1 0:21,34.9
2024/9/1 0:23,35
2024/9/1 0:23,35.1
2024/9/1 0:24,35.2
2024/9/1 0:25,35.3
2024/9/1 0:26,35.4
2024/9/1 0:27,35.5
2024/9/1 0:28,35.6
2024/9/1 0:28,35.7
2024/9/1 0:29,35.8
2024/9/1 0:30,35.9
2024/9/1 0:31,35.8
2024/9/1 0:31,35.9
2024/9/1 0:31,36
2024/9/1 0:32,35.9
2024/9/1 0:32,36
2024/9/1 0:33,36.1
2024/9/1 0:35,36.2
2024/9/1 0:36,36.3
2024/9/1 0:38,36.4
2024/9/1 0:39,36.5
2024/9/1 0:41,36.6
2024/9/1 0:43,36.7
2024/9/1 0:45,36.9
2024/9/1 0:46,37
2024/9/1 0:49,37.1
2024/9/1 0:50,37
2024/9/1 0:50,37.1
2024/9/1 0:52,37.2
2024/9/1 0:54,37.3
2024/9/1 0:57,37.4
2024/9/1 0:58,37.5
2024/9/1 0:59,37.6
2024/9/1 1:00,37.7
2024/9/1 1:01,37.8
2024/9/1 1:02,37.9
2024/9/1 1:02,38
2024/9/1 1:03,38.1
2024/9/1 1:03,38.2
2024/9/1 1:03,38.3
2024/9/1 1:04,38.1
2024/9/1 1:05,38.2
2024/9/1 1:05,38.6
2024/9/1 1:06,37.4
2024/9/1 1:06,37.3
2024/9/1 1:06,37.2
2024/9/1 1:07,37
2024/9/1 1:07,36.8
2024/9/1 1:08,37.1
2024/9/1 1:08,37.3
2024/9/1 1:08,37.5
2024/9/1 1:09,37.6
2024/9/1 1:09,37.7
2024/9/1 1:09,37.9
2024/9/1 1:10,38.1
2024/9/1 1:10,37.4
2024/9/1 1:10,37.1
2024/9/1 1:11,37.7
2024/9/1 1:11,38.3
2024/9/1 1:11,38.5
2024/9/1 1:12,37.5
2024/9/1 1:12,38
2024/9/1 1:12,36.6
2024/9/1 1:13,36.9
2024/9/1 1:13,37
2024/9/1 1:14,37.1
2024/9/1 1:14,3.8
2024/9/1 1:14,4.6
2024/9/1 1:14,4.2
2024/9/1 1:14,1.8
2024/9/1 1:14,1.5
2024/9/1 1:14,1.8
2024/9/1 1:14,1.3
2024/9/1 1:14,0.7
2024/9/1 1:14,6.1
2024/9/1 1:14,21.1
2024/9/1 1:14,27.6
2024/9/1 1:14,30.1
2024/9/1 1:14,28.7
2024/9/1 1:15,28.9
2024/9/1 1:15,29
2024/9/1 1:16,29.1
2024/9/1 1:16,29.6
2024/9/1 1:16,29.9
2024/9/1 1:17,30.1
2024/9/1 1:17,30.3
2024/9/1 1:17,30.2
2024/9/1 1:17,30.1
2024/9/1 1:17,30.2
2024/9/1 1:18,30.3
2024/9/1 1:18,30.4
2024/9/1 1:18,30.7
2024/9/1 1:18,31.4
2024/9/1 1:19,31.8
2024/9/1 1:19,33.3
2024/9/1 1:19,4.2
2024/9/1 1:19,0.8
2024/9/1 1:19,0.9
2024/9/1 1:19,0.8
2024/9/1 1:19,0.9
2024/9/1 1:20,23.4
2024/9/1 1:20,24.2
2024/9/1 1:21,25.2
2024/9/1 1:21,26.1
2024/9/1 1:22,26.4
2024/9/1 1:22,4.2
2024/9/1 1:22,1.7
2024/9/1 1:22,2.7
2024/9/1 1:22,3.8
2024/9/1 1:22,3.4
2024/9/1 1:22,3
2024/9/1 1:22,3.6
2024/9/1 1:22,3.4
2024/9/1 1:22,4.3
2024/9/1 1:22,0.7
2024/9/1 1:22,7.3
2024/9/1 1:22,5.4
2024/9/1 1:22,4.8
2024/9/1 1:24,4.9
2024/9/1 1:25,5
2024/9/1 1:27,5.1
2024/9/1 1:37,5.1
2024/9/1 1:38,5.2
2024/9/1 1:43,5.3
2024/9/1 1:50,5.4
2024/9/1 1:53,5.3
2024/9/1 1:58,5.2
2024/9/1 1:58,5.3
2024/9/1 2:00,5.2
2024/9/1 2:01,5.3
2024/9/1 2:10,5.4
2024/9/1 2:20,5.4
2024/9/1 2:22,5.5
2024/9/1 2:23,5.4
2024/9/1 2:24,5.5
2024/9/1 2:34,5.5
2024/9/1 2:35,5.4
2024/9/1 2:45,5.4
2024/9/1 2:55,5.4
2024/9/1 2:57,5.5
2024/9/1 2:57,5.4
2024/9/1 2:59,5.5
2024/9/1 3:00,5.4
2024/9/1 3:00,5.5
2024/9/1 3:01,5.4
2024/9/1 3:01,5.5
2024/9/1 3:11,5.5
2024/9/1 3:14,5.6
2024/9/1 3:14,5.5
2024/9/1 3:16,5.6
2024/9/1 3:17,5.5
2024/9/1 3:17,5.6
2024/9/1 3:23,5.5
2024/9/1 3:23,5.6
2024/9/1 3:33,5.6
2024/9/1 3:41,5.7
2024/9/1 3:41,5.6
2024/9/1 3:42,5.7
2024/9/1 3:42,5.6
2024/9/1 3:44,5.7
2024/9/1 3:45,5.6
2024/9/1 3:45,5.7
2024/9/1 3:55,5.7
2024/9/1 3:58,5.6
2024/9/1 4:08,5.6
2024/9/1 4:18,5.6
2024/9/1 4:28,5.6
2024/9/1 4:38,5.6
2024/9/1 4:48,5.6
2024/9/1 4:58,5.6
2024/9/1 5:08,5.6
2024/9/1 5:18,5.6
2024/9/1 5:28,5.6
2024/9/1 5:38,5.6
2024/9/1 5:44,5.7
2024/9/1 5:45,5.6
2024/9/1 5:45,5.7
2024/9/1 5:46,5.6
2024/9/1 5:47,5.7
2024/9/1 5:47,5.6
2024/9/1 5:47,5.7
2024/9/1 5:57,5.7
2024/9/1 6:07,5.7
2024/9/1 6:16,5.8
2024/9/1 6:17,5.7
2024/9/1 6:17,5.8
2024/9/1 6:17,5.7
